id,dataset_name,process,element,time,commodity,region,aspect 6 : ,aspect 7 : ,aspect 8 : ,aspect 9 : ,aspect 10 : ,aspect 11 : ,aspect 12 : ,value,unitcode,unitcode1,stats_array_1,stats_array_2,stats_array_3,stats_array_4,comment,reserve1,reserve2,reserve3
233736,2_IUS_steel_200R,Use phase,iron,1900,all steel-containing products,Afghanistan,,,,,,,,0.000000000,Gg,1,No uncertainty,,,,,,,
233737,2_IUS_steel_200R,Use phase,iron,1901,all steel-containing products,Afghanistan,,,,,,,,0.000436492,Gg,1,No uncertainty,,,,,,,
233738,2_IUS_steel_200R,Use phase,iron,1902,all steel-containing products,Afghanistan,,,,,,,,0.001309476,Gg,1,No uncertainty,,,,,,,
233739,2_IUS_steel_200R,Use phase,iron,1903,all steel-containing products,Afghanistan,,,,,,,,0.002618952,Gg,1,No uncertainty,,,,,,,
233740,2_IUS_steel_200R,Use phase,iron,1904,all steel-containing products,Afghanistan,,,,,,,,0.004364920,Gg,1,No uncertainty,,,,,,,
233741,2_IUS_steel_200R,Use phase,iron,1905,all steel-containing products,Afghanistan,,,,,,,,0.006547380,Gg,1,No uncertainty,,,,,,,
233742,2_IUS_steel_200R,Use phase,iron,1906,all steel-containing products,Afghanistan,,,,,,,,0.009166332,Gg,1,No uncertainty,,,,,,,
233743,2_IUS_steel_200R,Use phase,iron,1907,all steel-containing products,Afghanistan,,,,,,,,0.012221776,Gg,1,No uncertainty,,,,,,,
233744,2_IUS_steel_200R,Use phase,iron,1908,all steel-containing products,Afghanistan,,,,,,,,0.015713712,Gg,1,No uncertainty,,,,,,,
233745,2_IUS_steel_200R,Use phase,iron,1909,all steel-containing products,Afghanistan,,,,,,,,0.019642140,Gg,1,No uncertainty,,,,,,,
233746,2_IUS_steel_200R,Use phase,iron,1910,all steel-containing products,Afghanistan,,,,,,,,0.024007060,Gg,1,No uncertainty,,,,,,,
233747,2_IUS_steel_200R,Use phase,iron,1911,all steel-containing products,Afghanistan,,,,,,,,0.028808472,Gg,1,No uncertainty,,,,,,,
233748,2_IUS_steel_200R,Use phase,iron,1912,all steel-containing products,Afghanistan,,,,,,,,0.034046376,Gg,1,No uncertainty,,,,,,,
233749,2_IUS_steel_200R,Use phase,iron,1913,all steel-containing products,Afghanistan,,,,,,,,0.039720772,Gg,1,No uncertainty,,,,,,,
233750,2_IUS_steel_200R,Use phase,iron,1914,all steel-containing products,Afghanistan,,,,,,,,0.045831660,Gg,1,No uncertainty,,,,,,,
233751,2_IUS_steel_200R,Use phase,iron,1915,all steel-containing products,Afghanistan,,,,,,,,0.052379040,Gg,1,No uncertainty,,,,,,,
233752,2_IUS_steel_200R,Use phase,iron,1916,all steel-containing products,Afghanistan,,,,,,,,0.059362912,Gg,1,No uncertainty,,,,,,,
233753,2_IUS_steel_200R,Use phase,iron,1917,all steel-containing products,Afghanistan,,,,,,,,0.066783275,Gg,1,No uncertainty,,,,,,,
233754,2_IUS_steel_200R,Use phase,iron,1918,all steel-containing products,Afghanistan,,,,,,,,0.074640131,Gg,1,No uncertainty,,,,,,,
233755,2_IUS_steel_200R,Use phase,iron,1919,all steel-containing products,Afghanistan,,,,,,,,0.082933479,Gg,1,No uncertainty,,,,,,,
233756,2_IUS_steel_200R,Use phase,iron,1920,all steel-containing products,Afghanistan,,,,,,,,0.091663319,Gg,1,No uncertainty,,,,,,,
233757,2_IUS_steel_200R,Use phase,iron,1921,all steel-containing products,Afghanistan,,,,,,,,0.100829651,Gg,1,No uncertainty,,,,,,,
233758,2_IUS_steel_200R,Use phase,iron,1922,all steel-containing products,Afghanistan,,,,,,,,0.110432475,Gg,1,No uncertainty,,,,,,,
233759,2_IUS_steel_200R,Use phase,iron,1923,all steel-containing products,Afghanistan,,,,,,,,0.120471791,Gg,1,No uncertainty,,,,,,,
233760,2_IUS_steel_200R,Use phase,iron,1924,all steel-containing products,Afghanistan,,,,,,,,0.130947599,Gg,1,No uncertainty,,,,,,,
233761,2_IUS_steel_200R,Use phase,iron,1925,all steel-containing products,Afghanistan,,,,,,,,0.141859899,Gg,1,No uncertainty,,,,,,,
233762,2_IUS_steel_200R,Use phase,iron,1926,all steel-containing products,Afghanistan,,,,,,,,0.153208691,Gg,1,No uncertainty,,,,,,,
233763,2_IUS_steel_200R,Use phase,iron,1927,all steel-containing products,Afghanistan,,,,,,,,0.164993975,Gg,1,No uncertainty,,,,,,,
233764,2_IUS_steel_200R,Use phase,iron,1928,all steel-containing products,Afghanistan,,,,,,,,0.177215751,Gg,1,No uncertainty,,,,,,,
233765,2_IUS_steel_200R,Use phase,iron,1929,all steel-containing products,Afghanistan,,,,,,,,0.189874019,Gg,1,No uncertainty,,,,,,,
233766,2_IUS_steel_200R,Use phase,iron,1930,all steel-containing products,Afghanistan,,,,,,,,0.202968778,Gg,1,No uncertainty,,,,,,,
233767,2_IUS_steel_200R,Use phase,iron,1931,all steel-containing products,Afghanistan,,,,,,,,0.216500030,Gg,1,No uncertainty,,,,,,,
233768,2_IUS_steel_200R,Use phase,iron,1932,all steel-containing products,Afghanistan,,,,,,,,0.230467774,Gg,1,No uncertainty,,,,,,,
233769,2_IUS_steel_200R,Use phase,iron,1933,all steel-containing products,Afghanistan,,,,,,,,0.244872010,Gg,1,No uncertainty,,,,,,,
233770,2_IUS_steel_200R,Use phase,iron,1934,all steel-containing products,Afghanistan,,,,,,,,0.259712738,Gg,1,No uncertainty,,,,,,,
233771,2_IUS_steel_200R,Use phase,iron,1935,all steel-containing products,Afghanistan,,,,,,,,0.274989958,Gg,1,No uncertainty,,,,,,,
